Year,Rank,DJ Name
2023,1,David Guetta
2023,2,Dimitri Vegas & Mike
2023,3,Martin Garrix
2023,4,Alok
2023,5,Armin Van Buuren
2023,6,Timmy Trumpet
2023,7,Afrojack
2023,8,Steve Aoki
2023,9,Peggy Gou
2023,10,Vintage Culture
2023,11,Alan Walker
2023,12,Calvin Harris
2023,13,Don Diablo
2023,14,R3Hab
2023,15,Kshmr
2023,16,W&W
2023,17,Skrillex
2023,18,Charlotte De Witte
2023,19,Oliver Heldens
2023,20,Fisher
2023,21,Gordo
2023,22,Lost Frequencies
2023,23,Tiesto
2023,24,Nicky Romero
2023,25,Black Coffee
2023,26,Carl Cox
2023,27,Reinier Zonneveld
2023,28,Vini Vici
2023,29,Quintino
2023,30,Amelie Lens
2023,31,Bassjackers
2023,32,Claptone
2023,33,Fedde Le Grand
2023,34,Fred Again
2023,35,Marshmello
2023,36,Jamie Jones
2023,37,Hardwell
2023,38,Dj Snake
2023,39,Eric Prydz
2023,40,Above & Beyond
2023,41,Joel Corry
2023,42,Danny Avila
2023,43,Mariana Bo
2023,44,Chainsmokers
2023,45,Paul Van Dyk
2023,46,Deborah De Luca
2023,47,Zedd
2023,48,Nervo
2023,49,Atb
2023,50,Beauz
2023,51,Vinai
2023,52,Alesso
2023,53,Nora En Pure
2023,54,Tujamo
2023,55,Boris Brejcha
2023,56,Rezz
2023,57,Topic
2023,58,Blasterjaxx
2023,59,Kaaze
2023,60,Martinez Brothers
2023,61,Adam Beyer
2023,62,Kura
2023,63,Swedish House Mafia
2023,64,Dubdogz
2023,65,Deadmau5
2023,66,Mike Williams
2023,67,Burak Yeter
2023,68,Julian Jordan
2023,69,Ummet Ozcan
2023,70,Cat Dealers
2023,71,Angerfist
2023,72,Plastik Funk
2023,73,Tungevaag
2023,74,Acraze
2023,75,Tom & Collins
2023,76,Deorro
2023,77,Ofenbach
2023,78,22Bullets
2023,79,Brennan Heart
2023,80,Diego Miranda
2023,81,Lucas & Steve
2023,82,Aryue
2023,83,James Hype
2023,84,Le Twins
2023,85,Pink Panda
2023,86,Kaka
2023,87,Naeleck
2023,88,Marten Horger
2023,89,Ferry Corsten
2023,90,Morten
2023,91,Kolsch
2023,92,Rave Republic
2023,93,Cuebrick
2023,94,Solomun
2023,95,Maddix
2023,96,Lizzy Wang
2023,97,Indira Paganotto
2023,98,Liu
2023,99,Le Shuuk
2023,100,Jay Hardway
