Year,Rank,DJ Name
2020,1,David Guetta
2020,2,Dimitri Vegas & Mike
2020,3,Martin Garrix
2020,4,Armin Van Buuren
2020,5,Alok
2020,6,Don Diablo
2020,7,Afrojack
2020,8,Oliver Heldens
2020,9,Steve Aoki
2020,10,Timmy Trumpet
2020,11,Marshmello
2020,12,Kshmr
2020,13,R3Hab
2020,14,W&W
2020,15,Skrillex
2020,16,Tiesto
2020,17,Hardwell
2020,18,Calvin Harris
2020,19,Above & Beyond
2020,20,Nervo
2020,21,Lost Frequencies
2020,22,Eric Prydz
2020,23,Fedde Le Grand
2020,24,Vini Vici
2020,25,Dj Snake
2020,26,Alan Walker
2020,27,Chainsmokers
2020,28,Kygo
2020,29,Bassjackers
2020,30,Vintage Culture
2020,31,Nicky Romero
2020,32,Charlotte De Witte
2020,33,Quintino
2020,34,Carl Cox
2020,35,Zedd
2020,36,Angerfist
2020,37,Diplo
2020,38,Danny Avila
2020,39,Vinai
2020,40,Tujamo
2020,41,Claptone
2020,42,Mattn
2020,43,Illenium
2020,44,Mariana Bo
2020,45,Alesso
2020,46,Headhunterz
2020,47,Alison Wonderland
2020,48,Adam Beyer
2020,49,Wolfpack
2020,50,Paul Van Dyk
2020,51,Diego Miranda
2020,52,Cat Dealers
2020,53,Ferry Corsten
2020,54,Miss K8
2020,55,Dvbbs
2020,56,Atb
2020,57,Rezz
2020,58,Will Sparks
2020,59,Amelie Lens
2020,60,Boris Brejcha
2020,61,Carta
2020,62,3 Are Legend
2020,63,Breathe Carolina
2020,64,Deadmau5
2020,65,Ummet Ozcan
2020,66,Nina Kraviz
2020,67,Yellow Claw
2020,68,Jamie Jones
2020,69,Peggy Gou
2020,70,Blasterjaxx
2020,71,Julian Jordan
2020,72,Deniz Koyu
2020,73,Nora En Pure
2020,74,Kura
2020,75,Florian Picasso
2020,76,Tbc Marek
2020,77,Tom & Collins
2020,78,Brennan Heart
2020,79,Mr Pig
2020,80,Radical Redemption
2020,81,Rave Republic
2020,82,Pink Panda
2020,83,Dod
2020,84,Swedish House Mafia
2020,85,Plastik Funk
2020,86,Green Velvet
2020,87,Sunnery James & Ryan Marciano
2020,88,Aryue
2020,89,Burak Yeter
2020,90,Mike Williams
2020,91,Black Coffee
2020,92,Tungevaag
2020,93,Deborah De Luca
2020,94,Mike Perry
2020,95,Anna
2020,96,Dimitri Vangelis & Wyman
2020,97,Blastoyz
2020,98,22Bullets
2020,99,Robin Schulz
2020,100,Marco Carola
