Year,Rank,DJ Name
2008,1,Armin Van Buuren
2008,2,Tiesto
2008,3,Paul Van Dyk
2008,4,Above & Beyond
2008,5,David Guetta
2008,6,Ferry Corsten
2008,7,Sasha
2008,8,Markus Schulz
2008,9,John Digweed
2008,10,Infected Mushroom
2008,11,Deadmau5
2008,12,Carl Cox
2008,13,Sander Van Doorn
2008,14,Paul Oakenfold
2008,15,Richie Hawtin
2008,16,Hernan Cattaneo
2008,17,James Zabiela
2008,18,Andy Moor
2008,19,Eddie Halliwell
2008,20,Axwell
2008,21,Eric Prydz
2008,22,Kyau & Albert
2008,23,Gareth Emery
2008,24,Sven Vath
2008,25,Atb
2008,26,Anderson Noise
2008,27,Joachim Garraud
2008,28,Bobina
2008,29,Fedde Le Grand
2008,30,Dubfire
2008,31,Aly & Fila
2008,32,Judge Jules
2008,33,Umek
2008,34,Matt Darey
2008,35,Ricky Stone
2008,36,Ricardo Villalobos
2008,37,Lange
2008,38,Daft Punk
2008,39,Benny Benassi
2008,40,Bob Sinclair
2008,41,Deep Dish
2008,42,Mark Knight
2008,43,Astrix
2008,44,Marco V
2008,45,Thrillseekers
2008,46,Laidback Luke
2008,47,Danny Tenaglia
2008,48,Menno De Jong
2008,49,Marco Lenzi
2008,50,Andy C
2008,51,Offer Nissim
2008,52,Martin Solveig
2008,53,Adam Sheridan
2008,54,Sean Tyas
2008,55,Dj Feel
2008,56,Yahel
2008,57,Roger Sanchez
2008,58,Dj Shah
2008,59,Sander Kleinenberg
2008,60,John Ocallaghan
2008,61,Blank & Jones
2008,62,Cosmic Gate
2008,63,Steve Angello
2008,64,Simon Patterson
2008,65,Gabriel & Dresden
2008,66,Richard Durand
2008,67,Laurent Wolf
2008,68,Matt Hardwick
2008,69,Chris Liebing
2008,70,Erick Morillo
2008,71,Dj Hype
2008,72,Signum
2008,73,Justice
2008,74,Dirty South
2008,75,Wally Lopez
2008,76,Magda
2008,77,Lisa Lashes
2008,78,Pete Tong
2008,79,Dj Vibe
2008,80,Bad Boy Bill
2008,81,Tiddey
2008,82,Greg Downey
2008,83,Marcel Woods
2008,84,Nick Warren
2008,85,Solar System
2008,86,Skazi
2008,87,Mike Koglin
2008,88,Mauro Picotto
2008,89,Sebastien Leger
2008,90,Chemical Brothers
2008,91,Steve Lawler
2008,92,Fatboy Slim
2008,93,Solarstone
2008,94,Astral Projection
2008,95,Leon Bolier
2008,96,Nic Fanciulli
2008,97,Ronski Speed
2008,98,Tocadisco
2008,99,Booka Shade
2008,100,Alex Morph & Woody Van Eyden
