Year,Rank,DJ Name
2021,1,David Guetta
2021,2,Martin Garrix
2021,3,Armin Van Buuren
2021,4,Alok
2021,5,Dimitri Vegas %26 Mike
2021,6,Afrojack
2021,7,Don Diablo
2021,8,Oliver Heldens
2021,9,Timmy Trumpet
2021,10,Steve Aoki
2021,11,Kshmr
2021,12,R3Hab
2021,13,Marshmello
2021,14,W%26W
2021,15,Tiesto
2021,16,Calvin Harris
2021,17,Vintage Culture
2021,18,Nervo
2021,19,Fedde Le Grand
2021,20,Vini Vici
2021,21,Above %26 Beyond
2021,22,Alan Walker
2021,23,Charlotte De Witte
2021,24,Skrillex
2021,25,Lost Frequencies
2021,26,Nicky Romero
2021,27,Carl Cox
2021,28,Bassjackers
2021,29,Chainsmokers
2021,30,Quintino
2021,31,Eric Prydz
2021,32,Claptone
2021,33,Dj Snake
2021,34,Danny Avila
2021,35,Atb
2021,36,Tujamo
2021,37,Gordo
2021,38,Peggy Gou
2021,39,Morten
2021,40,Mariana Bo
2021,41,Paul Van Dyk
2021,42,Boris Brejcha
2021,43,Ummet Ozcan
2021,44,Amelie Lens
2021,45,Rezz
2021,46,Angerfist
2021,47,Diego Miranda
2021,48,Kygo
2021,49,Alison Wonderland
2021,50,Jamie Jones
2021,51,Vinai
2021,52,Deadmau5
2021,53,Miss K8
2021,54,Nina Kraviz
2021,55,Beauz
2021,56,Will Sparks
2021,57,Ferry Corsten
2021,58,Adam Beyer
2021,59,Nora En Pure
2021,60,Carta
2021,61,Blasterjaxx
2021,62,Breathe Carolina
2021,63,Alesso
2021,64,Zedd
2021,65,Pink Panda
2021,66,Julian Jordan
2021,67,Mattn
2021,68,Black Coffee
2021,69,Panta Q
2021,70,Mike Williams
2021,71,Deniz Koyu
2021,72,Naeleck
2021,73,Brennan Heart
2021,74,Kura
2021,75,Tom %26 Collins
2021,76,Mr Pig
2021,77,Fisher
2021,78,Virtual Riot
2021,79,Dod
2021,80,Plastik Funk
2021,81,Green Velvet
2021,82,Burak Yeter
2021,83,Kaaze
2021,84,Aryue
2021,85,Cat Dealers
2021,86,Rave Republic
2021,87,Sunnery James %26 Ryan Marciano
2021,88,Marlo
2021,89,Tungevaag
2021,90,Giftback
2021,91,Christina Novelli
2021,92,22Bullets
2021,93,Kaka
2021,94,Blastoyz
2021,95,Florian Picasso
2021,96,Luminn
2021,97,Alexso
2021,98,Daddys Groove
2021,99,Dexter King
2021,100,Vize
