Year,Rank,DJ Name
2024,1,Martin Garrix
2024,2,David Guetta
2024,3,Dimitri Vegas Mike
2024,4,Alok
2024,5,Timmy Trumpet
2024,6,Armin Van Buuren
2024,7,Afrojack
2024,8,Fisher
2024,9,Vintage Culture
2024,10,Peggy Gou
2024,11,Hardwell
2024,12,Steve Aoki
2024,13,Alan Walker
2024,14,Kshmr
2024,15,Don Diablo
2024,16,Charlotte De Witte
2024,17,Anyma
2024,18,R3Hab
2024,19,Skrillex
2024,20,Lost Frequencies
2024,21,Ww
2024,22,Calvin Harris
2024,23,Tiesto
2024,24,Black Coffee
2024,25,Nicky Romero
2024,26,Reinier Zonneveld
2024,27,Vini Vici
2024,28,Fred Again
2024,29,Oliver Heldens
2024,30,Jamie Jones
2024,31,Carl Cox
2024,32,Claptone
2024,33,Dj Snake
2024,34,Marshmello
2024,35,Keinemusik
2024,36,Joel Corry
2024,37,Paul Van Dyk
2024,38,Quintino
2024,39,Swedish House Mafia
2024,40,Fedde Le Grand
2024,41,Amelie Lens
2024,42,Chainsmokers
2024,43,Alesso
2024,44,Bassjackers
2024,45,Gordo
2024,46,Eric Prydz
2024,47,Atb
2024,48,Kaaze
2024,49,Indira Paganotto
2024,50,Nervo
2024,51,Mariana Bo
2024,52,Vinai
2024,53,Above Beyond
2024,54,Zedd
2024,55,Boris Brejcha
2024,56,Kura
2024,57,James Hype
2024,58,Deborah De Luca
2024,59,Tujamo
2024,60,Korolova
2024,61,Mochakk
2024,62,Dubdogz
2024,63,Julian Jordan
2024,64,Burak Yeter
2024,65,Nora En Pure
2024,66,Dom Dolla
2024,67,Deadmau5
2024,68,Martinez Brothers
2024,69,Maddix
2024,70,John Summit
2024,71,Lucas Steve
2024,72,Danny Avila
2024,73,Mike Williams
2024,74,22Bullets
2024,75,Sara Landry
2024,76,Dubvision
2024,77,Cat Dealers
2024,78,Kolsch
2024,79,Liu
2024,80,Ferry Corsten
2024,81,Plastik Funk
2024,82,Jax Jones
2024,83,Le Twins
2024,84,Tungevaag
2024,85,Aryue
2024,86,Rezz
2024,87,Wukong
2024,88,Solomun
2024,89,Cuebrick
2024,90,Marnik
2024,91,Mau P
2024,92,Kaka
2024,93,Pink Panda
2024,94,B Jones
2024,95,Naeleck
2024,96,Rave Republic
2024,97,Topic
2024,98,Giuseppe Ottaviani
2024,99,Faustix
2024,100,Meduza
